"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"72",2020-03-07,"Spain",113,373,257392.429730952,188079.162876483,342211.663518773,63159.7908202237,48499.2020192678,81717.5872927029,56639.2342324037,68371.2799728266,2,5,25.5890947845918,10.7213041997358,45.0804923006354,6.21031198467506,3.07790326591662,9.94129801647546,4.98444232907592,7.23951733703514,4.64075911661642,3.75862044674983,5.7851096199089,4.25140869953541,4.98309463571787
"73",2020-03-08,"Spain",56,429,341335.274780099,250834.922171937,450611.664428548,83942.8450491466,62755.759295454,108400.000909775,74666.7597188063,91106.190747682,0,5,33.7769274788051,15.0482120976263,57.8715226497578,8.18783269421326,4.32690789789051,12.7910303491225,6.70616396662084,9.51868916945189,4.64075911661642,3.75862044674983,5.7851096199089,4.25140869953541,4.98309463571787
"74",2020-03-09,"Spain",159,588,439659.934578668,324222.638397041,576896.851965675,98324.6597985687,73387.7162251035,126285.187537126,86349.168337127,108555.405035572,0,5,44.5787968646562,21.0622526624245,74.3401774448501,10.8018693858511,6.01404056479824,16.4686547950923,8.97864275240225,12.5431386450518,4.11990953929196,2.89205725734579,5.59963328813867,3.64580283444344,4.488871597195
"75",2020-03-10,"Spain",615,1203,569607.328219346,418611.996236523,754631.778598761,129947.393640678,94389.3578394826,177734.926633086,112250.546664613,145543.863894605,23,28,58.8380730535802,29.4734776881128,95.5436137735536,14.2592761889241,8.41122502568833,21.2034363287035,12.0843335749804,16.4968316705918,4.11990953929196,2.89205725734579,5.59963328813867,3.64580283444344,4.488871597195
"76",2020-03-11,"Spain",435,1638,739373.197675894,535550.101610654,1006065.71627304,169765.869456548,116938.105374131,251433.937674284,144442.456901032,192046.030512404,7,35,77.6704953051411,41.2470210994065,122.836910854899,18.8324222515609,11.7735434112937,27.2932970813454,16.266002140003,21.6754406727682,4.11990953929196,2.89205725734579,5.59963328813867,3.64580283444344,4.488871597195
"77",2020-03-12,"Spain",501,2139,960235.815352444,677404.689807955,1357793.22567337,220862.61767655,141854.588197301,351727.509400327,180181.444314407,252725.246809609,12,47,102.541382956825,57.7233375260232,158.081479791682,24.8708876516843,16.4763164266167,35.2445689367827,22.1140951432812,28.2246865043649,4.11990953929196,2.89205725734579,5.59963328813867,3.64580283444344,4.488871597195
"78",2020-03-13,"Spain",864,3003,1207385.84678811,809018.03893695,1788454.0956906,247150.031435662,131613.349128995,430660.87001723,195433.74782535,289545.297367732,37,84,135.358404870324,80.7083263867256,203.097064969725,32.8170219134986,22.9849888607024,45.0155851780435,29.7501694029141,36.71997453401,3.55622236315231,2.17448323169747,4.96842925176378,3.10685439831076,4.00640254300824
"79",2020-03-14,"Spain",1227,4230,1316675.11814487,859740.831117116,1934911.91328971,109289.27135676,50722.7921801654,146457.817599108,98969.961673226,127207.703059437,37,121,178.59451141113,112.463780287399,259.518823014233,43.2361065408055,31.7554539006738,56.4217580445079,38.9958586501434,47.2623471544129,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"80",2020-03-15,"Spain",1522,5752,1449726.2419679,923262.803475681,2110729.06623024,133051.123823033,63521.9723585648,175817.152940533,122206.947622649,153086.884486101,15,136,235.427693753913,156.218607662794,331.805189269143,56.8331823427833,43.7548273753946,72.28636625491,51.1232715092255,61.7378637187581,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"81",2020-03-16,"Spain",2000,7752,1600255.36409531,993412.408781529,2313104.31214795,150529.122127413,70149.6053058484,202375.245917705,136823.361097258,175302.884713124,152,288,309.849042702024,215.708381474449,426.928119524454,74.421348948111,59.489773811655,95.1229302553108,66.6795826551769,81.1541078494458,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"82",2020-03-17,"Spain",1438,9190,1763293.64846612,1064655.83341422,2540303.32764604,163038.284370805,71243.4246326888,227199.015498093,144734.369770241,192122.003509242,21,309,406.651758147426,294.069825863081,547.975752478501,96.8027154454021,78.3614443886323,121.047632954047,87.9494211817938,104.050044900144,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"83",2020-03-18,"Spain",1987,11177,1936284.88496288,1133459.45968406,2794276.07742905,172991.236496757,68803.6262698424,253972.749783008,149479.974913349,205510.245726048,182,491,531.240801268964,394.463267005203,702.683243953937,124.589043121538,100.393441142122,154.707491475436,114.080604055262,134.276919727519,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"84",2020-03-19,"Spain",2538,13715,2118378.442112,1197957.99080985,3076887.40858015,182093.557149123,64498.531125788,282611.331151103,153924.976204057,220951.614810556,107,598,689.447664544873,522.303334805531,897.137661419527,158.206863275909,127.840067800328,194.45441746559,145.481936995954,170.297483893687,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"85",2020-03-20,"Spain",3431,17146,2309685.65710248,1257384.7439641,3391039.77072101,191307.214990482,59426.7531542506,314152.362140853,154900.601795157,236847.703680719,169,767,887.149020007453,683.177472236023,1139.34974646339,197.70135546258,160.874137430491,242.212085043868,180.671386334325,214.476739817462,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"86",2020-03-21,"Spain",2833,19979,2510804.87575466,1311608.95983831,3740340.36089463,201119.218652182,54224.2158742121,349300.590173624,155389.104335987,252531.211376032,235,1002,1129.94882928997,879.438257093953,1435.0142038166,242.799809282515,196.26078485793,295.664457353205,222.484328386635,263.04675463323,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"87",2020-03-22,"Spain",4946,24925,2722575.66422639,1360829.13387338,4129003.03374005,211770.788471731,49220.1740350674,388662.672845421,155789.581922964,269578.661781694,324,1326,1423.13017711322,1113.5471826812,1791.82528203596,293.181347823252,234.108925587242,356.811078219364,266.795982990585,317.079847554123,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"88",2020-03-23,"Spain",3646,28571,2945971.70305251,1405391.24122167,4561538.15359859,223396.038826113,44562.1073482957,432535.119858535,157384.303161537,287655.138260126,394,1720,1771.19898902264,1390.6116800515,2217.05482003576,348.068811909416,277.064497370302,425.229537999795,318.550167604073,374.767969054167,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"89",2020-03-24,"Spain",4517,33088,3182064.3519397,1445689.82980261,5042953.82312652,236092.648887194,40298.588580933,481415.66952794,159022.151361274,306620.343805498,462,2182,2178.18493916866,1714.15106962899,2714.14843511645,406.985950146026,323.539389577491,497.093615080693,375.943529410615,436.255744013812,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"90",2020-03-25,"Spain",6584,39672,3432017.8883179,1482118.62020183,5578816.97350607,249953.536378197,36428.7903992232,535863.150379547,160567.224351968,326789.004170428,514,2696,2647.33059130033,2090.9302260387,3284.37129238601,469.145652131672,376.779156409714,570.222857269558,436.419554847436,500.875555891296,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"91",2020-03-26,"Spain",7937,47609,3697097.39069503,1515034.97865735,6175323.37861276,265079.502377137,32916.3584555206,596506.405106686,164200.800478484,348293.923961094,738,3434,3181.0987377424,2522.28774062164,3926.52900036196,533.768146442066,431.357514582941,642.157707975946,501.905918234013,567.747649923654,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"92",2020-03-27,"Spain",8578,56187,3978681.22194195,1544683.71812281,6841753.32771274,281583.831246917,29648.7394654633,666429.949099977,163992.707317579,371218.192218653,655,4089,3781.86170801514,3009.26457972273,4635.3204990863,600.762970272738,486.976839101084,708.791498724347,562.163089913557,634.843435919642,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"93",2020-03-28,"Spain",7871,64058,4278275.2823122,1571392.41001853,7586994.19517206,299594.060370246,26708.691895715,745240.867459322,163837.81245909,395652.946233,769,4858,4451.21410794295,3554.87305134527,5419.13668839154,669.35239992781,545.608471622541,783.816189305233,632.35743766569,710.67339855851,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"94",2020-03-29,"Spain",8189,72247,4597528.36680077,1595455.65411439,8420370.91325212,319253.084488578,24063.2440958593,833376.718080066,164592.513437452,421696.709246945,832,5690,5190.46569697916,4155.35203051874,6282.39936730593,739.251589036214,600.478979173474,863.262678914393,695.014020615303,785.59371959702,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"95",2020-03-30,"Spain",6549,78796,4938248.72683837,1617137.99049823,9353841.87352128,340720.360037596,21682.3363838425,933470.960269162,167383.355997407,449455.123840964,838,6528,6000.6919872668,4801.61659833935,7245.52580067093,810.226290287643,646.264567820602,963.126433365,761.959174349405,862.227793672434,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"96",2020-03-31,"Spain",6398,85194,5302422.14446211,1636676.95744012,10401372.5053917,364173.417623739,19538.9669418903,1047530.63187043,168674.814180195,478985.440319455,812,7340,6882.89685744526,5493.98389926964,8320.9944833796,882.204870178459,692.367300930295,1075.46868270868,824.892418057943,949.627906505224,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"97",2020-04-01,"Spain",9222,94416,5692231.85297598,1654285.9563619,11576901.9398514,389809.70851387,17608.9989217777,1175529.43445968,169183.225206403,507918.328475766,849,8189,7838.28974279768,6217.47804563715,9494.46560666442,955.392885352421,723.494146367513,1173.47112328481,874.916283069082,1044.12823053997,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
